rank	title	subs	favs	lifetime_subs	tags
1	Calamity Mod	9736718	238830	10275480	new content;Utilities;Gameplay Tweaks;Audio Tweaks
2	Calamity Mod Music	9276142	193624	9761942	new content;Audio Tweaks;Both;1.4.4
3	Recipe Browser	8327683	214394	8812901	Utilities;quality of life;English;Spanish
4	Boss Checklist	8200677	203989	8644106	Utilities;quality of life;English;German
5	Magic Storage	7123680	164256	7671080	new content;quality of life;English;Spanish
6	absoluteAquarian Utilities (SerousCommonLib)	6740251	111216	7108772	Utilities;library;English;Both
7	AlchemistNPC Lite	5539198	138833	6096084	Utilities;quality of life;Gameplay Tweaks;English
8	Ore Excavator (1.4.3/1.4.4 Veinminer)	4752727	108962	5567736	quality of life;library;Utilities;Gameplay Tweaks
9	Subworld Library	5022212	90882	5560300	library;English;German;Italian
10	Luminance	4523272	63714	4876158	Utilities;library;English;German
11	Fargo's Mutant Mod	4117316	87970	4842089	quality of life;English;Russian;Chinese
12	Quality of Terraria	4215069	160815	4631104	new content;Utilities;library;quality of life
13	Boss Cursor	3950435	116327	4405337	Utilities;quality of life;English;Chinese
14	Calamity's Vanities	3556915	111114	4280696	new content;English;Chinese;Both
15	Wing Slot Extra	3239940	98025	3941050	quality of life;Utilities;Both;1.4.4
16	Lights And Shadows	3128842	89516	3902277	Visual Tweaks;Client;1.4.4;1.4.3
17	Catalyst Mod	2765091	88676	3278404	new content;Gameplay Tweaks;Audio Tweaks;Visual Tweaks
18	◆ Calamity Chinese Translation Patch ◆ 灾厄汉化补丁 ◆	3123100	138201	3276218	Translation;English;Chinese;NoSync
19	Census - Town NPC Checklist	2584560	78441	3113480	Utilities;quality of life;English;Spanish
20	Thorium Mod	2313824	50920	3026658	new content;Utilities;Translation;quality of life
21	Fargo's Souls Mod	2363000	52842	3009054	new content;English;Russian;Chinese
22	Calamity: Wrath of the Gods	2565750	52162	3001337	new content;Gameplay Tweaks;Custom World Gen;English
23	Cheat Sheet	2127888	42413	2814154	Utilities;English;German;Italian
24	HERO's Mod	2083858	60944	2711580	Utilities;English;Spanish;Russian
25	LuiAFK Reborn	2110351	51797	2706815	quality of life;Utilities;Both;1.4.4
26	Auto Trash	1964886	66577	2576295	Utilities;quality of life;English;Russian
27	Structure Helper	2004332	33307	2571875	library;Custom World Gen;English;Both
28	DAYBREAK	2249109	20945	2454733	library;English;NoSync;1.4.4
29	SilkyUI	2319418	22215	2452067	quality of life;new content;library;Utilities
30	Calamity Mod Infernum Mode	2048568	26801	2340221	English;Russian;Chinese;Both
31	InnoVault	2003749	35085	2292756	library;English;German;French
32	Auto Reforge	1847859	44798	2280858	quality of life;Utilities;Gameplay Tweaks;Both
33	Vanilla Calamity Mod Music	1685521	50210	2193105	new content;Audio Tweaks;English;Both
34	Basic Automated (Vein) Mining	1667279	51013	2186142	quality of life;Utilities;Gameplay Tweaks;Both
35	Colored Calamity Relics	1753742	54228	2121239	Visual Tweaks;Both;1.4.3;1.4.4
36	Better Boss Health Bar for 1.4.4+	1635801	44984	2087929	quality of life;Visual Tweaks;English;Russian
